"Draft","Seat","Colors","Archetype","Themes","Creatures","Noncreatures","Lands","Avg MV","Mainboard","Sideboard"
"1","1","Black/Blue","BU Control","Spells","10","13","17","3.00","Prismatic Vista, Thirst for Identity, Lively Dirge, Phantom Interference, Brawn, Amadeus Cho, Lose Focus, Halo Forager, Contaminated Landscape, Fetid Pools, Baleful Strix, Waker of Waves, Unable to Scream, Talisman of Dominance, Swamp, Swamp, Swamp, Sinister Starfish, Striped Riverwinder, Godless Shrine, Bitter Triumph, Miscalculation, Serum Visionary, Dinrova Horror, Island, Island, Island, Island, Island, Island, Island, Animate Dead, Unburial Rites, Gonti, Lord of Luxury, Remand, Kasmina, Enigmatic Mentor, Slickshot Lockpicker, Hallowed Fountain, Collector's Vault, Watery Grave, Silent Clearing","Syr Konrad, the Grim, Artisan of Kozilek, Hypnotic Sprite, Curiosity, Seething Landscape, Wayfarer's Bauble, Shroudstomper, Spyglass Siren, Call of the Death-Dweller, Rite of the Raging Storm, Pyretic Rebirth, The Neutrinos, Archive Dragon, Shrine of Burning Rage, Vampire Nighthawk"
"1","2","Black/Green/White","BGW Graveyard","Humans","14","9","17","3.39","Utopia Sprawl, Golgari Rot Farm, Rubblebelt Maverick, Victimize, Honest Rutstein, Joo Dee, One of Many, Swamp, Swamp, Swamp, Swamp, Okoye, Dora Milaje Leader, Wolfwillow Haven, Ravenous Chupacabra, Harmonize, Demonic Tutor, Underground Mortuary, Rampant Growth, Colossal Skyturtle, Spinewoods Armadillo, Overgrown Tomb, Raven's Crime, Eldrazi Repurposer, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Plains, Plains, Chainweb Aracnir, Pelakka Wurm, Rise of the Ants, Bramble Wurm, Night Nurse, Healer of Heroes, Sakura-Tribe Elder, Red Guardian, Super-Soldier, Grizzly Fate","Cactusfolk Sureshot, Prophetic Prism, Meteor Sword, Deceptive Landscape, Eddymurk Crab, Treasure Keeper, Tolls of War, Primordial Pachyderm, Sourbread Auntie, Eviscerator's Insight, Sprout Swarm, Rootbound Crag, Reassembling Skeleton, Practiced Scrollsmith, Flopsie, Bumi's Buddy, Charging Strifeknight, Foreboding Landscape, Cogwork Librarian, Yahenni, Undying Partisan"
"1","3","Blue/White","UW Control","Creatures","18","5","17","2.83","Witch Enchanter, Plumecreed Escort, Combat Thresher, Ephemerate, Frost Trickster, Circuit Mender, Floodpits Drowner, Reflector Mage, Cynette, Jelly Drover, Nurturing Pixie, Soulherder, Mage's Attendant, Glimmerpoint Stag, Getaway Glamer, Ghostly Flicker, Riftwing Cloudskate, Flickerwisp, Island, Island, Island, Island, Island, Island, Faerie Seer, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Mana Leak, Fiend Hunter, Meticulous Archive, Inspiring Overseer, Path to Exile, Militia Bugler","Lita, Little Orphan Amphibian, Thermo-Alchemist, Start the TARDIS, Leonardo, Leader in Blue, Imperial Oath, Prava of the Steel Legion, Iraxxa, Empress of Mars, Epochrasite, Scrapwork Mutt, Psychic Spiral, Mouth of the Storm, Meat Locker // Drowned Diner, Air Nomad Legacy, Biomechan Engineer, Mandibular Kite, Into the Roil, Fire Magic, Emergency Eject, Seeker of the Way, Thopter Squadron, Weaponize the Monsters"
"1","4","Green","G Graveyard","Enchantments, Elves","13","10","17","2.96","Reclamation Sage, Glacier Godmaw, Eternal Witness, Summon: Fenrir, Elvish Mystic, Swamp, Pack Guardian, Llanowar Elves, Blossom Prancer, The Aesir Escape Valhalla, Wild Growth, Overwhelming Encounter, Beast Within, Rancor, Seismic Sense, Hunter's Talent, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Earthrumbler, Devoted Druid, Goliath, Mass Manipulator, Spinewoods Paladin, Spider Spawning, Fyndhorn Elves, Paradise Druid, Dismember","Fell the Profane, Skoa, Embermage, Stomping Ground, Diligent Webkeepers, Bloodbraid Elf, Night Clubber, Studious First-Year, Repulsive Mutation, Mishra's Bauble, The Last Ronin's Technique, Shattered Landscape, Coruscation Mage, Sawblade Skinripper, Carrion Feeder, Dauntless Scrapbot, Lluwen, Exchange Student, Sonic Screwdriver, Brimstone Volley, Loxodon Warhammer, Scout the City, Sulfurous Springs, Huskburster Swarm"
"1","5","Red/Blue","RU Spellslinger","Spells","6","17","17","2.52","Ponder, Fiery Islet, Choco-Comet, Talisman of Creativity, Picklock Prankster, Victor Timely, Wily Tycoon, Brainstorm, Prismari Campus, Confounding Riddle, Consider, Mischievous Mystic, Hieroglyphic Illumination, Lórien Revealed, Unnerving Grasp, Mountain, Preordain, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Improbable Alliance, Sink into Stupor, Shoreline Looter, Expressive Iteration, Mind Stone, Counterspell, Mirrorshell Crab, Echoing Truth, Moment of Truth, Third Path Iconoclast","Splash Lasher, Noise Marine, Eldrazi Ravager, Dragon Trainer, Ornithopter of Paradise, Irrigated Farmland, Essence Reliquary, Pilgrim's Eye, Sontaran General, Talisman of Curiosity, Snare Thopter, Elas il-Kor, Sadistic Pilgrim, Eldrazi Skyspawner, Coastline Marauders, Mask of Memory, Faller's Faithful, Perilous Landscape, Ghor-Clan Rampager, Environmental Scientist, Brazen Collector"
"1","6","Black/Red","BR Sneak and Show","Spells","9","14","17","2.65","Dance of the Dead, Bitter Reunion, Oliphaunt, Troll of Khazad-dûm, Go for the Throat, The Underworld Cookbook, Timeline Culler, Faithless Looting, The Eldest Reborn, Unearth, Triarch Praetorian, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Bone Shards, Shriekmaw, Marionette Apprentice, Wurmcoil Larva, Night's Whisper, Fell, Hymn to Tourach, Mountain, Mountain, Mountain, Forsaken Miner, Life // Death, Accursed Marauder, Live or Die, Tortured Existence","Drix Interception, Amethyst Dragon, Agonizing Remorse, Umbral Collar Zealot, Steam Vents, Thought-Stalker Warlock, Vampire Sovereign, Embereth Shieldbreaker, Graceful Restoration, Drown in Sorrow, Curse of Disturbance, Shepherd of the Flock, Rally at the Hornburg, Pestermite, Chain Lightning, Wreckage Wickerfolk, Arms of Hadar, Faerie Dreamthief, Obsessive Stitcher, Spawning Pit, Arc Trail, Pinnacle Monk"
"1","7","Green/White","GW Counters","Humans, Creatures","20","3","17","3.26","Requisition Raid, Fabled Passage, Killmonger, Scourge of Wakanda, Horizon Canopy, Glyph Elemental, Veteran Beastrider, Journey to Nowhere, Sunhome Stalwart, Ultimo, Civilization's End, Jewel Thief, Swamp, Mishra's Factory, Renata, Called to the Hunt, Curse of Predation, Eden, Seat of the Sanctum, Trostani's Summoner, Duskwatch Recruiter, Propagator Drone, Rhox Veteran, Forest, Forest, Forest, Elite Scaleguard, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Shepherd of the Clouds, Thraben Inspector, Lush Portico, Vitu-Ghazi Guildmage, Agent 13, Sharon Carter, Cloudgoat Ranger, Bannerhide Krushok, Scurry Oak, Shi'ar Soldier","Dawnbringer Cleric, Heartfire Immolator, Bountiful Landscape, Eusocial Engineering, Blood Artist, Ahn-Crop Crasher, Sheltering Landscape, Tax Collector, Stampeding Scurryfoot, Argyr, Tidal Spinner, Momo, Playful Pet, Mana Tithe, Malevolent Rumble, Tranquil Landscape, Lampad of Death's Vigil, Pierce Strider, Pummeler for Hire"
"1","8","Red/White","RW Aggro","Spells","9","14","17","2.61","Dragon's Rage Channeler, Painter's Studio // Defaced Gallery, Rift Bolt, Rally the Peasants, Inspiring Vantage, Irreverent Gremlin, Sacred Foundry, Bonesplitter, Kumano Faces Kakkazan, Gut, True Soul Zealot, Reckless Pyrosurfer, Firebolt, Shock Brigade, Greasewrench Goblin, Samurai's Katana, Fireblast, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Hordeling Outburst, Swords to Plowshares, Flametongue Kavu, Plains, Heroic Reinforcements, Grafted Wargear, Voldaren Epicure, Goblin Bombardment, Abrade, Twinmaw Stormbrood","Simic Growth Chamber, Kor Skyfisher, Staggershock, Gingerbrute, Grey Knight Paragon, Spectral Procession, Razorkin Hordecaller, Cliffhaven Kitesail, Cathar Commando, Mad Ratter, Archetype of Courage, Skittering Precursor, Ka-Zar of the Savage Land, Law-Rune Enforcer, Judith, the Scourge Diva, Githzerai Monk, Highway Robbery, Cult Conscript, City of Brass, Mighty Mutanimals"
"2","1","Red/Blue","RU Spellslinger","Spells, Faeries","12","11","17","2.78","Fiery Islet, Chart a Course, Hard Evidence, Faerie Conclave, Steam Vents, Stock Up, Picklock Prankster, Rise from the Tides, Eddymurk Crab, Floodpits Drowner, Consider, Mad Ratter, Faebloom Trick, Miscalculation, Mountain, Sprite Dragon, Riftwing Cloudskate, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Faerie Seer, Faerie Vandal, Electrostatic Infantry, Shoreline Looter, Into the Roil, Expressive Iteration, Murmuring Mystic, Echoing Truth, Moment of Truth, Pinnacle Monk","Drix Interception, Simic Growth Chamber, Frost Trickster, Victor Timely, Wily Tycoon, Bountiful Landscape, Ornithopter of Paradise, Unable to Scream, Shepherd of the Flock, Striped Riverwinder, Sandstone Oracle, Ghostly Flicker, Charging Strifeknight, Peace Strider, Eldrazi Skyspawner, Arms of Hadar, Archive Dragon, Loxodon Warhammer, Perilous Landscape, Harrier Strix"
"2","2","Green","G Ramp","Elves, Creatures","18","5","17","3.09","Reclamation Sage, Fabled Passage, Glacier Godmaw, Eternal Witness, Wall of Roots, Elvish Mystic, Imperious Perfect, Jewel Thief, Renata, Called to the Hunt, The Aesir Escape Valhalla, Wild Growth, Rishkar, Peema Renegade, Duskwatch Recruiter, Temur Sabertooth, Under the Skin, Rancor, Bridgeworks Battle, Galewind Moose, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Treetop Village, Honored Hydra, Fyndhorn Elves, Paradise Druid, Bannerhide Krushok, Sakura-Tribe Elder, Surrak, the Hunt Caller","Bitter Reunion, Rubblebelt Maverick, Bloodbraid Elf, Behold the Unspeakable, Epochrasite, Ash Barrens, Overwhelming Encounter, Skittering Precursor, Ravenous Chupacabra, Stampeding Scurryfoot, Sprout Swarm, Heroic Reinforcements, Bastion of Remembrance, Writhing Chrysalis, Spinewoods Paladin, Faerie Dreamthief, Twisted Landscape, Pierce Strider, General Marhault Elsdragon, Huskburster Swarm"
